timestamp,vel_x,vel_y,vel_z,acc_x,acc_y,acc_z,roll,pitch,yaw,rc0,rc1,rc2,rc3,vol,cur_raw,cur,power
49.9803049564,-0.1523547024,-0.1986447722,0.3105838597,1.4485365152,0.3722440302,3.8402950764,-0.0257655524,-0.0036956518,0.5358421849,1486,1488,1469,1524,15.1660003662,830,15.52734375,235.487700999
50.0792908669,-0.1619635075,-0.193236798,-0.0029587955,-0.909136951,0.5421250463,8.8612108231,-0.0257113848,0.0056550554,0.5364679875,1486,1488,1470,1523,15.1660003662,847,16.357421875,248.076666146
50.1812548637,-0.1667579263,-0.1857164502,-0.0392366014,-0.5922489762,-1.5730773211,10.5045881271,-0.0220872149,0.0064868462,0.5380088832,1486,1488,1470,1523,15.2150001526,800,14.0625,213.960939646
50.2795369625,-0.1674311757,-0.1716906577,-0.0116385408,1.0169110298,-0.1899731457,11.5207929611,-0.0215272881,0.0051102483,0.5411396957,1515,1488,1470,1522,15.2150001526,803,14.208984375,216.189699434
50.3818199635,-0.1622775197,-0.1479598731,-0.0312721543,0.059642449,0.1578213423,7.6550068855,-0.0270503525,0.0122061995,0.5433052084,1750,1483,1471,1522,15.1979999542,791,13.623046875,207.043065782
50.4801609516,-0.2030175775,0.0240268018,0.0360217616,0.4100780189,-1.6872683764,9.3026027679,-0.1997937467,0.043153636,0.548286248,1826,1482,1470,1523,15.1979999542,792,13.671875,207.785155624
50.5825769901,-0.2859095633,0.2202581763,0.0664096698,0.3532048464,-0.6426189542,13.6086759567,-0.2722754632,0.0374285522,0.5522327863,1898,1481,1470,1522,15.1850004196,785,13.330078125,202.417241921
50.6808688641,-0.3871527016,0.4424561858,0.0743957683,-0.571822226,-0.3105064332,11.2044229507,-0.3236799485,0.0307143625,0.5567514904,1898,1482,1471,1522,15.1850004196,829,15.478515625,235.04126626
50.7832129002,-0.5392510295,0.7160868645,0.0989229903,1.6086323261,-0.6808659434,7.6920733452,-0.3747663365,0.0247148886,0.5615296171,1898,1481,1470,1522,15.1850004196,799,14.013671875,212.797613302
50.8819029331,-0.7624578476,1.1111485958,0.1144108921,-3.0155482292,-0.3947131336,11.961312294,-0.4180034967,0.0184131352,0.564792144,1898,1481,1470,1523,15.1599998474,868,17.3828125,263.523434847
50.9837939739,-0.9365122318,1.4230968952,0.1219174564,1.8031659126,1.237233758,9.7408628464,-0.4381991874,0.015310344,0.5657897715,1898,1483,1470,1523,15.1599998474,825,15.283203125,231.693357043
51.0822098255,-1.2126431465,1.8657115698,0.1371132582,0.2503287792,-1.725191474,13.5899648666,-0.4686713486,0.0140254721,0.5655985962,1898,1481,1471,1521,15.1330003738,829,15.478515625,234.236382739
51.1806938648,-1.3888710737,2.1870427132,0.121882908,-1.5044118166,-0.208545208,13.3975076675,-0.4839692603,0.0121256601,0.5659910183,1898,1483,1470,1522,15.1330003738,853,16.650390625,251.970367552
51.2828919888,-1.6071600914,2.5562617779,0.1160246134,2.8832595348,-1.1025440693,9.3567667007,-0.5017723176,0.0084863213,0.5672393089,1898,1483,1470,1522,15.1330003738,831,15.576171875,235.714214807
51.3816108704,-1.8274997473,2.9076676369,0.083329767,1.3574769497,-0.5349087119,6.7712292671,-0.5161363016,0.0067956031,0.5683523065,1898,1483,1470,1523,15.1129999161,816,14.84375,224.333592505
51.4837348461,-2.1247823238,3.3697905541,0.0471313894,-1.3011856079,-0.8523340225,11.0013389587,-0.5362651461,0.0070048032,0.5692148816,1891,1485,1470,1523,15.1129999161,890,18.45703125,278.941111733
51.5822048187,-2.4484570026,3.8710258007,0.0075672199,-1.8851072788,1.4080364704,12.2842082977,-0.5490466942,0.0080947492,0.5697077027,1880,1484,1470,1523,15.0959997177,862,17.08984375,257.988276426
51.6842558384,-2.6725814343,4.2219443321,-0.0246504098,-1.0394943953,-1.8053401709,10.3470659256,-0.5548616492,0.0077816558,0.5706854958,1871,1486,1470,1523,15.0959997177,816,14.84375,224.08124581
51.7827069759,-2.9284112454,4.6392922401,-0.0832704455,-3.0787000656,-1.3538724184,7.8827514648,-0.5480319343,0.0107374933,0.569604827,1866,1486,1470,1523,15.0959997177,800,14.0625,212.28749603
51.8850619793,-3.122374773,4.9328832626,-0.1420103312,-1.18904531,-1.1067353487,9.2471208572,-0.4819333049,0.0090237032,0.5723602092,1847,1488,1470,1523,15.0719995499,819,14.990234375,225.932805753
51.9833438396,-3.2473502159,5.1152162552,-0.1616581976,0.4258727431,-1.9720876217,8.3220033646,-0.3559023863,0.0093542786,0.5753319949,1843,1488,1470,1522,15.0719995499,772,12.6953125,191.343744286
52.0855000019,-3.3636848927,5.2893610001,-0.1749443114,-0.398878336,0.3697324991,5.4208183289,-0.2562131604,0.0083680955,0.579200327,1821,1486,1470,1521,15.0830001831,748,11.5234375,173.808009922
52.1838078499,-3.3898692131,5.3247976303,-0.2071197629,-0.6328955889,-1.0810147524,14.1938352585,-0.1524306276,0.0089911196,0.5830511164,1800,1486,1470,1523,15.0830001831,743,11.279296875,170.125636831
52.2822089195,-3.3671922684,5.2671227455,-0.2332980186,-1.9641965628,-1.2729014158,10.734336853,-0.0312980348,0.004169275,0.5870578241,1752,1490,1470,1523,15.0830001831,765,12.353515625,186.328078434
52.3851518631,-3.2387504578,5.0192651749,-0.2112427652,-2.8569054604,-0.3272607028,12.7499933243,0.1853896585,-0.020672047,0.5897702233,1671,1490,1470,1523,15.1169996262,763,12.255859375,185.271821591
52.4830029011,-3.0869605541,4.7641921043,-0.2034587562,0.0502651669,-0.1057078466,10.1201448441,0.2714738749,-0.0355939087,0.5880601268,1671,1490,1470,1523,15.1169996262,790,13.57421875,205.20145977
52.5858209133,-2.7437036037,4.1563129425,-0.188785404,0.5129551291,-0.3968862295,12.6261367798,0.5342789895,-0.0570837288,0.5846920669,1528,1483,1471,1522,15.1400003433,819,14.990234375,226.952153584
52.6841239929,-2.4748153687,3.7015688419,-0.2030460835,-0.2716802955,0.5540611744,11.3390798569,0.6263054642,-0.0515339871,0.5893043541,1490,1482,1471,1522,15.1400003433,879,17.919921875,271.307623339
52.7862269878,-2.0862672329,3.048416853,-0.2458263934,0.6345043778,-1.1244978905,10.9616165161,0.6843345857,-0.0511474589,0.5859900299,1488,1452,1470,1522,15.1400003433,923,20.068359375,303.834967827
52.8842999935,-1.6740989685,2.305457592,-0.3427283168,-2.051530838,2.6296167374,9.9978227615,0.645469401,-0.0680521815,0.5640232801,1487,1435,1470,1523,15.1289997101,915,19.677734375,297.704437655
52.9867990017,-1.4012928009,1.7398347855,-0.361946255,-2.4888625145,-1.846514225,14.8287811279,0.4866654048,-0.0767044902,0.5721595679,1487,1363,1470,1522,15.0860004425,859,16.943359375,255.607527029
53.0856289864,-1.2100090981,1.2878059149,-0.2843855619,1.9125076532,1.4110540152,11.3901367188,0.3915384544,-0.0806485553,0.5906218259,1487,1317,1470,1522,15.0860004425,823,15.185546875,229.089166876
53.1874718666,-1.0564647913,0.8004726171,-0.2062919885,-1.8204334974,-3.5921680927,12.1500320435,0.2715952689,-0.1394048645,0.5945762097,1488,1235,1470,1522,15.0860004425,787,13.427734375,202.570806723
53.2857148647,-1.0634647608,0.3828054369,-0.1574367732,0.2242505699,-0.2161969692,10.4734325409,0.1823891964,-0.2191717787,0.5885691,1490,1102,1471,1522,15.0579996109,799,14.013671875,211.017865641
53.3880000114,-1.1360902786,0.1182410344,-0.1192522123,-0.1695740074,0.1147708446,8.2311897278,0.1406540491,-0.2622979874,0.5856262232,1488,1099,1470,1523,15.0579996109,841,16.064453125,241.898528906
53.4869840145,-1.2667011023,-0.1349078417,-0.0897808149,0.7374665141,0.1608825624,11.7151212692,0.099142433,-0.3161227682,0.5808321709,1489,1101,1470,1523,15.0579996109,821,15.087890625,227.193451161
53.5851619244,-1.4598488808,-0.3995557427,-0.0622269697,2.1279501915,-0.0806723833,12.3059215546,0.0724679454,-0.3540888331,0.5754231674,1489,1101,1470,1523,15.0500001907,831,15.576171875,234.421389689
53.6875369549,-1.7697038651,-0.7504516244,-0.0483472794,-1.4594049454,-1.1786954403,12.7353744507,0.0459060064,-0.4006987041,0.5656703194,1490,1102,1470,1523,15.0500001907,836,15.8203125,238.095706142
53.7857148647,-2.1454808712,-1.0874304771,-0.0386590622,1.7352190018,-0.5653441548,8.520898819,0.0278735496,-0.4445779994,0.5502024552,1490,1103,1470,1523,15.0469999313,795,13.818359375,207.924852566
53.887804985,-2.4279642105,-1.3202941418,-0.0415441245,1.741956234,-0.2171616256,9.8452157974,0.0223462559,-0.4609360666,0.5416197115,1491,1102,1471,1522,15.0469999313,840,16.015625,240.987108275
53.9865198135,-2.7064800263,-1.5347298384,-0.0459576026,2.8986463547,-0.0387525335,7.5863995552,0.0167387827,-0.4812703953,0.530263674,1492,1105,1470,1522,15.0469999313,830,15.52734375,233.63994034
